timestamp,millis, 76f96f013c, d39896f013c,819096f013c, 61ac96f013c, c71996f013c, 145496f013c, 50c596f013c, b84c96f013c
2023-03-02T15:50:47Z,191394,24.06,6.13,24.38,14.06,7.69,7.25,10.31,24
2023-03-02T15:50:48Z,192544,24.13,5.88,24.38,13.63,7.38,7,9.88,24
2023-03-02T15:50:49Z,193695,24.13,5.63,24.38,13.25,7.06,6.69,9.5,24.06
2023-03-02T15:50:51Z,194845,24.13,5.44,24.38,12.88,6.69,6.44,9.13,24
2023-03-02T15:50:52Z,196003,24.06,5.25,24.38,12.44,6.44,6.13,8.81,24
2023-03-02T15:50:53Z,197147,24.06,5.06,24.31,12.06,6.13,5.88,8.5,24
2023-03-02T15:50:54Z,198295,24.13,4.88,24.38,11.75,5.81,5.69,8.31,23.94
2023-03-02T15:50:55Z,199439,24.06,4.75,24.38,11.44,5.63,5.56,7.94,23.94
2023-03-02T15:50:56Z,200583,24.06,4.56,24.31,11.06,5.38,5.25,7.69,23.94
2023-03-02T15:50:57Z,201726,24,4.44,24.31,10.69,5.19,5.25,7.44,23.94
2023-03-02T15:50:59Z,202869,24.06,4.31,24.31,10.31,5,5.13,7.25,23.94
2023-03-02T15:51:00Z,204013,24,4.19,24.31,10,4.81,4.94,6.94,23.94
2023-03-02T15:51:01Z,205157,24.06,4.13,24.31,9.69,4.63,4.75,6.75,23.88
2023-03-02T15:51:02Z,206301,24.06,4.06,24.31,9.38,4.5,4.69,6.56,23.94
2023-03-02T15:51:03Z,207447,24.06,4,24.31,9.13,4.31,4.5,6.38,23.94
2023-03-02T15:51:04Z,208591,24.06,3.88,24.25,8.81,4.19,4.44,6.19,23.88
2023-03-02T15:51:05Z,209735,24.06,3.81,24.31,8.56,4.13,4.31,6,23.88
2023-03-02T15:51:07Z,210879,24.06,3.69,24.25,8.38,4,4.31,5.88,23.88
2023-03-02T15:51:08Z,212023,24.06,3.63,24.31,8.06,3.88,4.19,5.75,23.88
2023-03-02T15:51:09Z,213167,24.06,3.56,24.25,7.81,3.81,4,5.56,23.88
2023-03-02T15:51:10Z,214310,24.06,3.5,24.31,7.63,3.69,3.94,5.44,23.88
2023-03-02T15:51:11Z,215454,24.06,3.44,24.31,7.44,3.63,3.81,5.25,23.88
2023-03-02T15:51:12Z,216599,24.06,3.25,24.31,7.19,3.56,3.81,5.19,23.88
2023-03-02T15:51:14Z,217743,24.06,3.31,24.31,7,3.5,3.75,5.06,23.88
2023-03-02T15:51:15Z,218887,24.06,3.25,24.31,6.81,3.44,3.75,4.94,23.81
2023-03-02T15:51:16Z,220034,24.06,3.19,24.31,6.63,3.38,3.69,4.81,23.81
2023-03-02T15:51:17Z,221177,24.06,3.13,24.31,6.38,3.31,3.63,4.69,23.88
2023-03-02T15:51:18Z,222321,24.06,3.13,24.31,6.19,3.25,3.5,4.63,23.81
2023-03-02T15:51:19Z,223465,24.06,3.06,24.31,6,3.19,3.5,4.56,23.88
2023-03-02T15:51:20Z,224610,24.06,3.06,24.31,5.88,3.19,3.5,4.5,23.81
2023-03-02T15:51:22Z,225754,24.06,3,24.31,5.75,3.13,3.5,4.38,23.81
2023-03-02T15:51:23Z,226897,24.06,3,24.31,5.63,3.06,3.44,4.31,23.81
2023-03-02T15:51:24Z,228041,24.06,2.94,24.31,5.56,3,3.38,4.19,23.88
2023-03-02T15:51:25Z,229185,24.06,2.94,24.31,5.38,3,3.31,4.13,23.81
2023-03-02T15:51:26Z,230329,24,2.94,24.31,5.31,3,3.25,4,23.81
2023-03-02T15:51:27Z,231476,24,2.88,24.31,5.13,2.94,3.19,3.94,23.81
2023-03-02T15:51:28Z,232621,24.06,2.88,24.31,5,2.88,3.13,3.88,23.81
2023-03-02T15:51:30Z,233764,24.06,2.81,24.25,4.94,2.88,3.13,3.81,23.81
2023-03-02T15:51:31Z,234908,24.06,2.81,24.31,4.81,2.88,3.06,3.75,23.81
2023-03-02T15:51:32Z,236052,24.06,2.75,24.31,4.69,2.81,3.13,3.69,23.81
2023-03-02T15:51:33Z,237196,24.06,2.69,24.31,4.63,2.81,3.06,3.63,23.81
2023-03-02T15:51:34Z,238341,24.06,2.69,24.31,4.5,2.81,3.06,3.56,23.81
2023-03-02T15:51:35Z,239484,24.06,2.69,24.31,4.38,2.81,3.13,3.5,23.81
2023-03-02T15:51:36Z,240628,24.06,2.63,24.31,4.31,2.69,3,3.5,23.81
2023-03-02T15:51:38Z,241772,24.06,2.63,24.31,4.25,2.75,3,3.44,23.81
2023-03-02T15:51:39Z,242917,24.06,2.63,24.31,4.19,2.69,2.94,3.38,23.81
2023-03-02T15:51:40Z,244059,23.38,2.63,24.31,4.19,2.69,3,3.38,23.81
2023-03-02T15:51:41Z,245202,19.81,2.63,24.31,4.06,2.69,2.94,3.31,23.81
2023-03-02T15:51:42Z,246346,16.63,2.63,24.31,4,2.69,2.94,3.31,23.75
2023-03-02T15:51:43Z,247490,14.25,2.56,24.31,3.94,2.63,2.94,3.25,23.81
2023-03-02T15:51:44Z,248634,12.63,2.56,24.31,3.88,2.63,2.88,3.25,23.81
2023-03-02T15:51:46Z,249778,11.38,2.56,24.31,3.81,2.56,2.88,3.25,23.75
2023-03-02T15:51:47Z,250921,10.44,2.56,24.38,3.81,2.56,2.88,3.19,23.81
2023-03-02T15:51:48Z,252065,9.81,2.5,24.31,3.75,2.56,2.88,3.19,23.75
2023-03-02T15:51:49Z,253210,9.31,2.5,24.38,3.69,2.56,2.88,3.13,23.81
2023-03-02T15:51:50Z,254354,8.94,2.5,24.31,3.63,2.56,2.88,3.06,23.81
